,directory,sub_dir1,sub_dir2,number of files,last modified,file
40,/Volumes/Youtube/Originals/YouTube-Sub/모음집,LullabyA ja,골드위크 자장가 모음집 최종,35,Fri Apr 21 10:48:58 2017,02_[JA]딸꾹질.mov
41,/Volumes/Youtube/Originals/YouTube-Sub/모음집,LullabyA ja,골드위크 자장가 모음집 최종,35,Fri Apr 21 10:48:58 2017,03_[JA]내장화.mov
42,/Volumes/Youtube/Originals/YouTube-Sub/모음집,LullabyA ja,골드위크 자장가 모음집 최종,35,Fri Apr 21 10:48:58 2017,04_[JA]시냇물악보.mov
43,/Volumes/Youtube/Originals/YouTube-Sub/모음집,LullabyA ja,골드위크 자장가 모음집 최종,35,Fri Apr 21 10:48:58 2017,05_[JA]병아리.mov
44,/Volumes/Youtube/Originals/YouTube-Sub/모음집,LullabyA ja,골드위크 자장가 모음집 최종,35,Fri Apr 21 10:48:58 2017,06_[JA]초승달.mov
45,/Volumes/Youtube/Originals/YouTube-Sub/모음집,LullabyA ja,골드위크 자장가 모음집 최종,35,Fri Apr 21 10:48:58 2017,07_[JA]Happy Bear's Day.mov
46,/Volumes/Youtube/Originals/YouTube-Sub/모음집,LullabyA ja,골드위크 자장가 모음집 최종,35,Fri Apr 21 10:48:58 2017,08_[JA]Spring Has Come.mov
47,/Volumes/Youtube/Originals/YouTube-Sub/모음집,LullabyA ja,골드위크 자장가 모음집 최종,35,Fri Apr 21 10:48:58 2017,09_[JA]Four Seasons of the Forest.mov
48,/Volumes/Youtube/Originals/YouTube-Sub/모음집,LullabyA ja,골드위크 자장가 모음집 최종,35,Fri Apr 21 10:48:58 2017,10_[JA]Kiss the Shadow.mov
49,/Volumes/Youtube/Originals/YouTube-Sub/모음집,LullabyA ja,골드위크 자장가 모음집 최종,35,Fri Apr 21 10:48:58 2017,11_[JA]What a Busy Day.mov
50,/Volumes/Youtube/Originals/YouTube-Sub/모음집,LullabyA ja,골드위크 자장가 모음집 최종,35,Fri Apr 21 10:48:58 2017,12_[JA]Can't Sleep.mov
51,/Volumes/Youtube/Originals/YouTube-Sub/모음집,LullabyA ja,골드위크 자장가 모음집 최종,35,Fri Apr 21 10:48:58 2017,13_[JA]One Snowy Night.mov
52,/Volumes/Youtube/Originals/YouTube-Sub/모음집,LullabyA ja,골드위크 자장가 모음집 최종,35,Fri Apr 21 10:48:58 2017,14_[JA]Luna.mov
53,/Volumes/Youtube/Originals/YouTube-Sub/모음집,LullabyA ja,골드위크 자장가 모음집 최종,35,Fri Apr 21 10:48:58 2017,15_[JA]The Mother Moon.mov
54,/Volumes/Youtube/Originals/YouTube-Sub/모음집,LullabyA ja,골드위크 자장가 모음집 최종,35,Fri Apr 21 10:48:58 2017,30_Brahms' Lullaby_최종.mov
55,/Volumes/Youtube/Originals/YouTube-Sub/모음집,LullabyA ja,골드위크 자장가 모음집 최종,35,Fri Apr 21 10:48:58 2017,31_Five in a Bed_최종.mov
56,/Volumes/Youtube/Originals/YouTube-Sub/모음집,LullabyA ja,골드위크 자장가 모음집 최종,35,Fri Apr 21 10:48:58 2017,32_Good Night to You_최종.mov
57,/Volumes/Youtube/Originals/YouTube-Sub/모음집,LullabyA ja,골드위크 자장가 모음집 최종,35,Fri Apr 21 10:48:58 2017,"33_Hush-a-Bye, Baby Bye_최종.mov"
58,/Volumes/Youtube/Originals/YouTube-Sub/모음집,LullabyA ja,골드위크 자장가 모음집 최종,35,Fri Apr 21 10:48:58 2017,"34_Hush, Little Baby_최종.mov"
59,/Volumes/Youtube/Originals/YouTube-Sub/모음집,LullabyA ja,골드위크 자장가 모음집 최종,35,Fri Apr 21 10:48:58 2017,35_Lavender's Blue_최종.mov
60,/Volumes/Youtube/Originals/YouTube-Sub/모음집,LullabyA ja,골드위크 자장가 모음집 최종,35,Fri Apr 21 10:48:58 2017,36_Mary Had a Little Sheep_최종.mov
61,/Volumes/Youtube/Originals/YouTube-Sub/모음집,LullabyA ja,골드위크 자장가 모음집 최종,35,Fri Apr 21 10:48:58 2017,37_Mozart's Lullaby_최종.mov
62,/Volumes/Youtube/Originals/YouTube-Sub/모음집,LullabyA ja,골드위크 자장가 모음집 최종,35,Fri Apr 21 10:48:58 2017,"38_Rock a Bye, Baby_최종.mov"
63,/Volumes/Youtube/Originals/YouTube-Sub/모음집,LullabyA ja,골드위크 자장가 모음집 최종,35,Fri Apr 21 10:48:58 2017,39_Schubert's Lullaby_최종.mov
64,/Volumes/Youtube/Originals/YouTube-Sub/모음집,LullabyA ja,골드위크 자장가 모음집 최종,35,Fri Apr 21 10:48:58 2017,"40_Twinkle, Twinkle, Little Star (canon in D)_최종.mov"
65,/Volumes/Youtube/Originals/YouTube-Sub/모음집,LullabyA ja,골드위크 자장가 모음집 최종,35,Fri Apr 21 10:48:58 2017,41_Sing-a-Ling_최종.mov
66,/Volumes/Youtube/Originals/YouTube-Sub/모음집,LullabyA ja,골드위크 자장가 모음집 최종,35,Fri Apr 21 10:48:58 2017,"42_Sleep, Baby, Sleep_최종.mov"
67,/Volumes/Youtube/Originals/YouTube-Sub/모음집,LullabyA ja,골드위크 자장가 모음집 최종,35,Fri Apr 21 10:48:58 2017,43_The Night's Lullaby_최종.mov
68,/Volumes/Youtube/Originals/YouTube-Sub/모음집,LullabyA ja,골드위크 자장가 모음집 최종,35,Fri Apr 21 10:48:58 2017,44_Winkum Winkum_최종.mov
69,/Volumes/Youtube/Originals/YouTube-Sub/모음집,LullabyA ja,골드위크 자장가 모음집 최종,35,Fri Apr 21 10:48:58 2017,"45_Twinkle, Twinkle, Little Star_최종.mov"
70,/Volumes/Youtube/Originals/YouTube-Sub/모음집,LullabyA ja,골드위크 자장가 모음집 최종,35,Fri Apr 21 10:48:58 2017,50_White noise_bonfire.mov
71,/Volumes/Youtube/Originals/YouTube-Sub/모음집,LullabyA ja,골드위크 자장가 모음집 최종,35,Fri Apr 21 10:48:58 2017,51_White noise_bonfire 복사본.mov
72,/Volumes/Youtube/Originals/YouTube-Sub/모음집,LullabyA ja,골드위크 자장가 모음집 최종,35,Fri Apr 21 10:48:58 2017,52_White noise_bonfire 복사본 2.mov
73,/Volumes/Youtube/Originals/YouTube-Sub/모음집,LullabyA ja,골드위크 자장가 모음집 최종,35,Fri Apr 21 10:48:58 2017,52_White noise_bonfire 복사본 3.mov
749,/Volumes/Youtube/Originals/YouTube-Sub/모음집,en_no,상어가족 동요 + 앱 스페셜,19,Wed Apr 18 23:35:37 2018,01_상어가족 남아여아 튜브 체조.mp4
